0 0 0,0 1,0 2,0 3,0 4,0 5,0 6,0 7,0
2153 0 -1,-3 0,-3 1,-3 2,-3 2,-2 2,-1 2,0 1,0
2154 0 -1,-3 0,-3 1,-3 2,-3 2,-2 2,-1 2,0 1,0
2155 0 0,-3 1,-3 2,-3 2,-2 2,-1 2,0 1,0 0,0
2156 0 1,-3 2,-3 2,-2 2,-1 2,0 1,0 0,0 0,-1
2157 0 1,-2 1,-3 2,-3 2,-2 2,-1 2,0 1,0 0,0
2158 0 1,-3 2,-3 2,-2 2,-1 2,0 1,0 0,0 -1,0
2159 0 2,-3 2,-2 2,-1 2,0 1,0 0,0 -1,0 -2,0
2160 0 2,-2 2,-1 2,0 1,0 0,0 -1,0 -2,0 -2,-1
2161 0 1,-2 2,-2 2,-1 2,0 1,0 0,0 -1,0 -2,0
2162 0 2,-2 2,-1 2,0 1,0 0,0 -1,0 -2,0 -3,0
2163 0 2,-3 2,-2 2,-1 2,0 1,0 0,0 -1,0 -2,0
2164 0 2,-4 2,-3 2,-2 2,-1 2,0 1,0 0,0 -1,0
2165 0 2,-3 2,-2 2,-1 2,0 1,0 0,0 -1,0 -1,-1
2166 0 3,-3 2,-3 2,-2 2,-1 2,0 1,0 0,0 -1,0
2167 0 3,-2 3,-3 2,-3 2,-2 2,-1 2,0 1,0 0,0
2168 0 3,-2 3,-3 2,-3 2,-2 2,-1 2,0 1,0 0,0
2169 0 3,-3 2,-3 2,-2 2,-1 2,0 1,0 0,0 -1,0
2170 0 2,-3 2,-2 2,-1 2,0 1,0 0,0 -1,0 -1,1
2171 0 2,-2 2,-1 2,0 1,0 0,0 -1,0 -1,1 -1,2
2172 0 2,-1 2,0 1,0 0,0 -1,0 -1,1 -1,2 -2,2
2173 0 1,-1 2,-1 2,0 1,0 0,0 -1,0 -1,1 -1,2
2174 0 2,-1 2,0 1,0 0,0 -1,0 -1,1 -1,2 -1,3
2175 0 2,-2 2,-1 2,0 1,0 0,0 -1,0 -1,1 -1,2
2176 0 2,-1 2,0 1,0 0,0 -1,0 -1,1 -1,2 -2,2
2177 0 2,-1 2,0 1,0 0,0 -1,0 -1,1 -1,2 -2,2
2178 0 2,0 1,0 0,0 -1,0 -1,1 -1,2 -2,2 -3,2
2179 0 2,0 1,0 0,0 -1,0 -1,1 -1,2 -2,2 -3,2
2180 0 1,0 0,0 -1,0 -1,1 -1,2 -2,2 -3,2 -3,3
2181 0 0,0 -1,0 -1,1 -1,2 -2,2 -3,2 -3,3 -2,3
2182 0 1,0 0,0 -1,0 -1,1 -1,2 -2,2 -3,2 -3,3
2183 0 1,0 0,0 -1,0 -1,1 -1,2 -2,2 -3,2 -3,3
2184 0 2,0 1,0 0,0 -1,0 -1,1 -1,2 -2,2 -3,2
2185 0 1,0 0,0 -1,0 -1,1 -1,2 -2,2 -3,2 -3,1
2186 0 0,0 -1,0 -1,1 -1,2 -2,2 -3,2 -3,1 -4,1
2187 0 -1,0 -1,1 -1,2 -2,2 -3,2 -3,1 -4,1 -5,1
2188 0 -1,1 -1,2 -2,2 -3,2 -3,1 -4,1 -5,1 -5,2
2189 0 -1,1 -1,2 -2,2 -3,2 -3,1 -4,1 -5,1 -5,2
2190 0 -1,2 -2,2 -3,2 -3,1 -4,1 -5,1 -5,2 -6,2
2191 0 -2,2 -3,2 -3,1 -4,1 -5,1 -5,2 -6,2 -6,3
2192 0 -2,1 -2,2 -3,2 -3,1 -4,1 -5,1 -5,2 -6,2
2193 0 -2,0 -2,1 -2,2 -3,2 -3,1 -4,1 -5,1 -5,2
2194 0 -1,0 -2,0 -2,1 -2,2 -3,2 -3,1 -4,1 -5,1
2195 0 -1,0 -2,0 -2,1 -2,2 -3,2 -3,1 -4,1 -5,1
2196 0 -1,0 -2,0 -2,1 -2,2 -3,2 -3,1 -4,1 -5,1
2197 0 -1,0 -2,0 -2,1 -2,2 -3,2 -3,1 -4,1 -5,1
2198 0 -2,0 -2,1 -2,2 -3,2 -3,1 -4,1 -5,1 -5,0
2199 0 -1,0 -2,0 -2,1 -2,2 -3,2 -3,1 -4,1 -5,1
2200 0 -2,0 -2,1 -2,2 -3,2 -3,1 -4,1 -5,1 -5,0
2201 0 -2,1 -2,2 -3,2 -3,1 -4,1 -5,1 -5,0 -5,-1
2202 0 -2,1 -2,2 -3,2 -3,1 -4,1 -5,1 -5,0 -5,-1
2203 0 -1,1 -2,1 -2,2 -3,2 -3,1 -4,1 -5,1 -5,0
2204 0 0,1 -1,1 -2,1 -2,2 -3,2 -3,1 -4,1 -5,1
2205 0 0,0 0,1 -1,1 -2,1 -2,2 -3,2 -3,1 -4,1
2206 0 0,1 -1,1 -2,1 -2,2 -3,2 -3,1 -4,1 -5,1
2207 0 0,0 0,1 -1,1 -2,1 -2,2 -3,2 -3,1 -4,1
2208 0 0,1 -1,1 -2,1 -2,2 -3,2 -3,1 -4,1 -4,0
2209 0 0,2 0,1 -1,1 -2,1 -2,2 -3,2 -3,1 -4,1
2210 0 0,1 -1,1 -2,1 -2,2 -3,2 -3,1 -4,1 -4,2
2211 0 0,2 0,1 -1,1 -2,1 -2,2 -3,2 -3,1 -4,1
2212 0 0,3 0,2 0,1 -1,1 -2,1 -2,2 -3,2 -3,1
2213 0 0,2 0,1 -1,1 -2,1 -2,2 -3,2 -3,1 -3,0
2214 0 0,1 -1,1 -2,1 -2,2 -3,2 -3,1 -3,0 -3,-1
2215 0 0,1 -1,1 -2,1 -2,2 -3,2 -3,1 -3,0 -3,-1
2216 0 1,1 0,1 -1,1 -2,1 -2,2 -3,2 -3,1 -3,0
2217 0 1,1 0,1 -1,1 -2,1 -2,2 -3,2 -3,1 -3,0
2218 0 1,1 0,1 -1,1 -2,1 -2,2 -3,2 -3,1 -3,0
2219 0 0,1 -1,1 -2,1 -2,2 -3,2 -3,1 -3,0 -4,0
2220 0 0,0 0,1 -1,1 -2,1 -2,2 -3,2 -3,1 -3,0
2221 0 0,1 -1,1 -2,1 -2,2 -3,2 -3,1 -3,0 -2,0
2222 0 1,1 0,1 -1,1 -2,1 -2,2 -3,2 -3,1 -3,0
2223 0 1,0 1,1 0,1 -1,1 -2,1 -2,2 -3,2 -3,1
2224 0 1,1 0,1 -1,1 -2,1 -2,2 -3,2 -3,1 -3,0
2225 0 1,1 0,1 -1,1 -2,1 -2,2 -3,2 -3,1 -3,0
2226 0 2,1 1,1 0,1 -1,1 -2,1 -2,2 -3,2 -3,1
2227 0 3,1 2,1 1,1 0,1 -1,1 -2,1 -2,2 -3,2
2228 0 2,1 1,1 0,1 -1,1 -2,1 -2,2 -3,2 -3,3
2229 0 1,1 0,1 -1,1 -2,1 -2,2 -3,2 -3,3 -4,3
2230 0 1,1 0,1 -1,1 -2,1 -2,2 -3,2 -3,3 -4,3
2231 0 0,1 -1,1 -2,1 -2,2 -3,2 -3,3 -4,3 -4,4
2232 0 0,1 -1,1 -2,1 -2,2 -3,2 -3,3 -4,3 -4,4
2233 0 -1,1 -2,1 -2,2 -3,2 -3,3 -4,3 -4,4 -5,4
2234 0 -2,1 -2,2 -3,2 -3,3 -4,3 -4,4 -5,4 -5,5
2235 0 -3,1 -2,1 -2,2 -3,2 -3,3 -4,3 -4,4 -5,4
2236 0 -2,1 -2,2 -3,2 -3,3 -4,3 -4,4 -5,4 -5,3
2237 0 -2,0 -2,1 -2,2 -3,2 -3,3 -4,3 -4,4 -5,4
2238 0 -2,-1 -2,0 -2,1 -2,2 -3,2 -3,3 -4,3 -4,4
2239 0 -2,-1 -2,0 -2,1 -2,2 -3,2 -3,3 -4,3 -4,4
2240 0 -2,0 -2,1 -2,2 -3,2 -3,3 -4,3 -4,4 -5,4
2241 0 -2,-1 -2,0 -2,1 -2,2 -3,2 -3,3 -4,3 -4,4
2242 0 -2,0 -2,1 -2,2 -3,2 -3,3 -4,3 -4,4 -5,4
2243 0 -2,1 -2,2 -3,2 -3,3 -4,3 -4,4 -5,4 -5,3
2244 0 -3,1 -2,1 -2,2 -3,2 -3,3 -4,3 -4,4 -5,4
2245 0 -2,1 -2,2 -3,2 -3,3 -4,3 -4,4 -5,4 -5,5
2246 0 -2,2 -3,2 -3,3 -4,3 -4,4 -5,4 -5,5 -6,5
2247 0 -2,2 -3,2 -3,3 -4,3 -4,4 -5,4 -5,5 -6,5
2248 0 -1,2 -2,2 -3,2 -3,3 -4,3 -4,4 -5,4 -5,5
2249 0 -2,2 -3,2 -3,3 -4,3 -4,4 -5,4 -5,5 -5,6
2250 0 -3,2 -3,3 -4,3 -4,4 -5,4 -5,5 -5,6 -6,6
2251 0 -3,2 -3,3 -4,3 -4,4 -5,4 -5,5 -5,6 -6,6
2252 0 -3,3 -4,3 -4,4 -5,4 -5,5 -5,6 -6,6 -6,5
2253 0 -3,2 -3,3 -4,3 -4,4 -5,4 -5,5 -5,6 -6,6
2254 0 -3,3 -4,3 -4,4 -5,4 -5,5 -5,6 -6,6 -6,5
2255 0 -3,3 -4,3 -4,4 -5,4 -5,5 -5,6 -6,6 -6,5
2256 0 -3,3 -4,3 -4,4 -5,4 -5,5 -5,6 -6,6 -6,5
2257 0 -4,3 -4,4 -5,4 -5,5 -5,6 -6,6 -6,5 -6,4
2258 0 -4,2 -4,3 -4,4 -5,4 -5,5 -5,6 -6,6 -6,5
2259 0 -5,2 -4,2 -4,3 -4,4 -5,4 -5,5 -5,6 -6,6
2260 0 -5,3 -5,2 -4,2 -4,3 -4,4 -5,4 -5,5 -5,6
2261 0 -6,3 -5,3 -5,2 -4,2 -4,3 -4,4 -5,4 -5,5
2262 0 -6,2 -6,3 -5,3 -5,2 -4,2 -4,3 -4,4 -5,4
2263 0 -6,3 -5,3 -5,2 -4,2 -4,3 -4,4 -5,4 -6,4
2264 0 -7,3 -6,3 -5,3 -5,2 -4,2 -4,3 -4,4 -5,4
2265 0 -7,4 -7,3 -6,3 -5,3 -5,2 -4,2 -4,3 -4,4
2266 0 -8,4 -7,4 -7,3 -6,3 -5,3 -5,2 -4,2 -4,3
2267 0 -9,4 -8,4 -7,4 -7,3 -6,3 -5,3 -5,2 -4,2
2268 0 -8,4 -7,4 -7,3 -6,3 -5,3 -5,2 -4,2 -4,1
2269 0 -8,4 -7,4 -7,3 -6,3 -5,3 -5,2 -4,2 -4,1
2270 0 -7,4 -7,3 -6,3 -5,3 -5,2 -4,2 -4,1 -5,1
2271 0 -7,4 -7,3 -6,3 -5,3 -5,2 -4,2 -4,1 -5,1
2272 0 -7,4 -7,3 -6,3 -5,3 -5,2 -4,2 -4,1 -5,1
2273 0 -6,4 -7,4 -7,3 -6,3 -5,3 -5,2 -4,2 -4,1
2274 0 -6,4 -7,4 -7,3 -6,3 -5,3 -5,2 -4,2 -4,1
2275 0 -6,4 -7,4 -7,3 -6,3 -5,3 -5,2 -4,2 -4,1
2276 0 -7,4 -7,3 -6,3 -5,3 -5,2 -4,2 -4,1 -4,0
2277 0 -7,4 -7,3 -6,3 -5,3 -5,2 -4,2 -4,1 -4,0
2278 0 -7,4 -7,3 -6,3 -5,3 -5,2 -4,2 -4,1 -4,0
2279 0 -7,3 -6,3 -5,3 -5,2 -4,2 -4,1 -4,0 -5,0
2280 0 -7,2 -7,3 -6,3 -5,3 -5,2 -4,2 -4,1 -4,0
2281 0 -7,3 -6,3 -5,3 -5,2 -4,2 -4,1 -4,0 -3,0
2282 0 -7,2 -7,3 -6,3 -5,3 -5,2 -4,2 -4,1 -4,0
2283 0 -7,3 -6,3 -5,3 -5,2 -4,2 -4,1 -4,0 -5,0
2284 0 -6,3 -5,3 -5,2 -4,2 -4,1 -4,0 -5,0 -6,0
2285 0 -7,3 -6,3 -5,3 -5,2 -4,2 -4,1 -4,0 -5,0
2286 0 -7,4 -7,3 -6,3 -5,3 -5,2 -4,2 -4,1 -4,0
2287 0 -7,5 -7,4 -7,3 -6,3 -5,3 -5,2 -4,2 -4,1
2288 0 -7,5 -7,4 -7,3 -6,3 -5,3 -5,2 -4,2 -4,1
2289 0 -8,5 -7,5 -7,4 -7,3 -6,3 -5,3 -5,2 -4,2
2290 0 -8,4 -8,5 -7,5 -7,4 -7,3 -6,3 -5,3 -5,2
2291 0 -8,3 -8,4 -8,5 -7,5 -7,4 -7,3 -6,3 -5,3
2292 0 -8,3 -8,4 -8,5 -7,5 -7,4 -7,3 -6,3 -5,3
2293 0 -8,3 -8,4 -8,5 -7,5 -7,4 -7,3 -6,3 -5,3
2294 0 -8,4 -8,5 -7,5 -7,4 -7,3 -6,3 -5,3 -4,3
2295 0 -8,4 -8,5 -7,5 -7,4 -7,3 -6,3 -5,3 -4,3
2296 0 -8,5 -7,5 -7,4 -7,3 -6,3 -5,3 -4,3 -4,2
2297 0 -7,5 -7,4 -7,3 -6,3 -5,3 -4,3 -4,2 -4,1
2298 0 -7,5 -7,4 -7,3 -6,3 -5,3 -4,3 -4,2 -4,1
2299 0 -6,5 -7,5 -7,4 -7,3 -6,3 -5,3 -4,3 -4,2
2300 0 -5,5 -6,5 -7,5 -7,4 -7,3 -6,3 -5,3 -4,3
2301 0 -6,5 -7,5 -7,4 -7,3 -6,3 -5,3 -4,3 -4,4
2302 0 -6,6 -6,5 -7,5 -7,4 -7,3 -6,3 -5,3 -4,3
2303 0 -6,6 -6,5 -7,5 -7,4 -7,3 -6,3 -5,3 -4,3
2304 0 -6,5 -7,5 -7,4 -7,3 -6,3 -5,3 -4,3 -4,2
2305 0 -6,6 -6,5 -7,5 -7,4 -7,3 -6,3 -5,3 -4,3
2306 0 -5,6 -6,6 -6,5 -7,5 -7,4 -7,3 -6,3 -5,3
2307 0 -6,6 -6,5 -7,5 -7,4 -7,3 -6,3 -5,3 -5,2
2308 0 -6,7 -6,6 -6,5 -7,5 -7,4 -7,3 -6,3 -5,3
2309 0 -6,6 -6,5 -7,5 -7,4 -7,3 -6,3 -5,3 -5,4
2310 0 -6,6 -6,5 -7,5 -7,4 -7,3 -6,3 -5,3 -5,4
2311 0 -6,6 -6,5 -7,5 -7,4 -7,3 -6,3 -5,3 -5,4
2312 0 -6,5 -7,5 -7,4 -7,3 -6,3 -5,3 -5,4 -6,4
2313 0 -6,6 -6,5 -7,5 -7,4 -7,3 -6,3 -5,3 -5,4
2314 0 -6,6 -6,5 -7,5 -7,4 -7,3 -6,3 -5,3 -5,4
2315 0 -7,6 -6,6 -6,5 -7,5 -7,4 -7,3 -6,3 -5,3
2316 0 -6,6 -6,5 -7,5 -7,4 -7,3 -6,3 -5,3 -4,3
2317 0 -7,6 -6,6 -6,5 -7,5 -7,4 -7,3 -6,3 -5,3
2318 0 -7,7 -7,6 -6,6 -6,5 -7,5 -7,4 -7,3 -6,3
2319 0 -7,8 -7,7 -7,6 -6,6 -6,5 -7,5 -7,4 -7,3
2320 0 -7,8 -7,7 -7,6 -6,6 -6,5 -7,5 -7,4 -7,3
2321 0 -7,7 -7,6 -6,6 -6,5 -7,5 -7,4 -7,3 -8,3
2322 0 -7,8 -7,7 -7,6 -6,6 -6,5 -7,5 -7,4 -7,3
2323 0 -7,7 -7,6 -6,6 -6,5 -7,5 -7,4 -7,3 -6,3
2324 0 -7,6 -6,6 -6,5 -7,5 -7,4 -7,3 -6,3 -6,2
2325 0 -7,7 -7,6 -6,6 -6,5 -7,5 -7,4 -7,3 -6,3
2326 0 -7,6 -6,6 -6,5 -7,5 -7,4 -7,3 -6,3 -6,2
2327 0 -6,6 -6,5 -7,5 -7,4 -7,3 -6,3 -6,2 -7,2
2328 0 -6,5 -7,5 -7,4 -7,3 -6,3 -6,2 -7,2 -8,2
2329 0 -7,5 -7,4 -7,3 -6,3 -6,2 -7,2 -8,2 -9,2
2330 0 -7,4 -7,3 -6,3 -6,2 -7,2 -8,2 -9,2 -9,1
2331 0 -7,5 -7,4 -7,3 -6,3 -6,2 -7,2 -8,2 -9,2
2332 0 -7,4 -7,3 -6,3 -6,2 -7,2 -8,2 -9,2 -9,3
2333 0 -7,4 -7,3 -6,3 -6,2 -7,2 -8,2 -9,2 -9,3
2334 0 -8,4 -7,4 -7,3 -6,3 -6,2 -7,2 -8,2 -9,2
2335 0 -8,4 -7,4 -7,3 -6,3 -6,2 -7,2 -8,2 -9,2
2336 0 -8,3 -8,4 -7,4 -7,3 -6,3 -6,2 -7,2 -8,2
2337 0 -8,3 -8,4 -7,4 -7,3 -6,3 -6,2 -7,2 -8,2
2338 0 -8,4 -7,4 -7,3 -6,3 -6,2 -7,2 -8,2 -8,1
2339 0 -8,5 -8,4 -7,4 -7,3 -6,3 -6,2 -7,2 -8,2
2340 0 -8,6 -8,5 -8,4 -7,4 -7,3 -6,3 -6,2 -7,2
2341 0 -8,6 -8,5 -8,4 -7,4 -7,3 -6,3 -6,2 -7,2
2342 0 -8,6 -8,5 -8,4 -7,4 -7,3 -6,3 -6,2 -7,2
2343 0 -8,6 -8,5 -8,4 -7,4 -7,3 -6,3 -6,2 -7,2
2344 0 -8,5 -8,4 -7,4 -7,3 -6,3 -6,2 -7,2 -7,1
2345 0 -8,4 -7,4 -7,3 -6,3 -6,2 -7,2 -7,1 -8,1
2346 0 -7,4 -7,3 -6,3 -6,2 -7,2 -7,1 -8,1 -8,0
2347 0 -6,4 -7,4 -7,3 -6,3 -6,2 -7,2 -7,1 -8,1
2348 0 -7,4 -7,3 -6,3 -6,2 -7,2 -7,1 -8,1 -9,1
2349 0 -7,4 -7,3 -6,3 -6,2 -7,2 -7,1 -8,1 -9,1
2350 0 -8,4 -7,4 -7,3 -6,3 -6,2 -7,2 -7,1 -8,1
2351 0 -8,5 -8,4 -7,4 -7,3 -6,3 -6,2 -7,2 -7,1
2352 0 -8,4 -7,4 -7,3 -6,3 -6,2 -7,2 -7,1 -6,1
2353 0 -8,4 -7,4 -7,3 -6,3 -6,2 -7,2 -7,1 -6,1
2354 0 -7,4 -7,3 -6,3 -6,2 -7,2 -7,1 -6,1 -6,0
2355 0 -7,5 -7,4 -7,3 -6,3 -6,2 -7,2 -7,1 -6,1
2356 0 -7,4 -7,3 -6,3 -6,2 -7,2 -7,1 -6,1 -5,1
2357 0 -7,3 -6,3 -6,2 -7,2 -7,1 -6,1 -5,1 -4,1
2358 0 -7,3 -6,3 -6,2 -7,2 -7,1 -6,1 -5,1 -4,1
2359 0 -8,3 -7,3 -6,3 -6,2 -7,2 -7,1 -6,1 -5,1
2360 0 -7,3 -6,3 -6,2 -7,2 -7,1 -6,1 -5,1 -5,2
2361 0 -7,3 -6,3 -6,2 -7,2 -7,1 -6,1 -5,1 -5,2
2362 0 -6,3 -6,2 -7,2 -7,1 -6,1 -5,1 -5,2 -5,3
2363 0 -6,3 -6,2 -7,2 -7,1 -6,1 -5,1 -5,2 -5,3
2364 0 -6,2 -7,2 -7,1 -6,1 -5,1 -5,2 -5,3 -4,3
2365 0 -6,2 -7,2 -7,1 -6,1 -5,1 -5,2 -5,3 -4,3
2366 0 -7,2 -7,1 -6,1 -5,1 -5,2 -5,3 -4,3 -3,3
2367 0 -7,1 -6,1 -5,1 -5,2 -5,3 -4,3 -3,3 -3,4
2368 0 -7,2 -7,1 -6,1 -5,1 -5,2 -5,3 -4,3 -3,3
2369 0 -7,2 -7,1 -6,1 -5,1 -5,2 -5,3 -4,3 -3,3
2370 0 -7,1 -6,1 -5,1 -5,2 -5,3 -4,3 -3,3 -3,4
2371 0 -7,1 -6,1 -5,1 -5,2 -5,3 -4,3 -3,3 -3,4
2372 0 -7,2 -7,1 -6,1 -5,1 -5,2 -5,3 -4,3 -3,3
2373 0 -8,2 -7,2 -7,1 -6,1 -5,1 -5,2 -5,3 -4,3
2374 0 -8,2 -7,2 -7,1 -6,1 -5,1 -5,2 -5,3 -4,3
2375 0 -7,2 -7,1 -6,1 -5,1 -5,2 -5,3 -4,3 -3,3
2376 0 -7,1 -6,1 -5,1 -5,2 -5,3 -4,3 -3,3 -3,2
2377 0 -7,0 -7,1 -6,1 -5,1 -5,2 -5,3 -4,3 -3,3
2378 0 -8,0 -7,0 -7,1 -6,1 -5,1 -5,2 -5,3 -4,3
2379 0 -7,0 -7,1 -6,1 -5,1 -5,2 -5,3 -4,3 -4,2
2380 0 -7,-1 -7,0 -7,1 -6,1 -5,1 -5,2 -5,3 -4,3
2381 0 -7,-1 -7,0 -7,1 -6,1 -5,1 -5,2 -5,3 -4,3
2382 0 -8,-1 -7,-1 -7,0 -7,1 -6,1 -5,1 -5,2 -5,3
2383 0 -8,-1 -7,-1 -7,0 -7,1 -6,1 -5,1 -5,2 -5,3
2384 0 -9,-1 -8,-1 -7,-1 -7,0 -7,1 -6,1 -5,1 -5,2
2385 0 -10,-1 -9,-1 -8,-1 -7,-1 -7,0 -7,1 -6,1 -5,1
2386 0 -11,-1 -10,-1 -9,-1 -8,-1 -7,-1 -7,0 -7,1 -6,1
2387 0 -12,-1 -11,-1 -10,-1 -9,-1 -8,-1 -7,-1 -7,0 -7,1
2388 0 -11,-1 -10,-1 -9,-1 -8,-1 -7,-1 -7,0 -7,1 -8,1
2389 0 -10,-1 -9,-1 -8,-1 -7,-1 -7,0 -7,1 -8,1 -8,2
2390 0 -9,-1 -8,-1 -7,-1 -7,0 -7,1 -8,1 -8,2 -9,2
2391 0 -9,-2 -9,-1 -8,-1 -7,-1 -7,0 -7,1 -8,1 -8,2
2392 0 -9,-3 -9,-2 -9,-1 -8,-1 -7,-1 -7,0 -7,1 -8,1
2393 0 -10,-3 -9,-3 -9,-2 -9,-1 -8,-1 -7,-1 -7,0 -7,1
2394 0 -11,-3 -10,-3 -9,-3 -9,-2 -9,-1 -8,-1 -7,-1 -7,0
2395 0 -11,-2 -11,-3 -10,-3 -9,-3 -9,-2 -9,-1 -8,-1 -7,-1
2396 0 -11,-3 -10,-3 -9,-3 -9,-2 -9,-1 -8,-1 -7,-1 -7,0
2397 0 -11,-2 -11,-3 -10,-3 -9,-3 -9,-2 -9,-1 -8,-1 -7,-1
2398 0 -11,-2 -11,-3 -10,-3 -9,-3 -9,-2 -9,-1 -8,-1 -7,-1
2399 0 -11,-1 -11,-2 -11,-3 -10,-3 -9,-3 -9,-2 -9,-1 -8,-1
2400 0 -10,-1 -11,-1 -11,-2 -11,-3 -10,-3 -9,-3 -9,-2 -9,-1
2401 0 -10,-2 -10,-1 -11,-1 -11,-2 -11,-3 -10,-3 -9,-3 -9,-2
2402 0 -10,-1 -11,-1 -11,-2 -11,-3 -10,-3 -9,-3 -9,-2 -9,-1
2403 0 -10,0 -10,-1 -11,-1 -11,-2 -11,-3 -10,-3 -9,-3 -9,-2
2404 0 -9,0 -10,0 -10,-1 -11,-1 -11,-2 -11,-3 -10,-3 -9,-3
2405 0 -9,0 -10,0 -10,-1 -11,-1 -11,-2 -11,-3 -10,-3 -9,-3
2406 0 -10,0 -10,-1 -11,-1 -11,-2 -11,-3 -10,-3 -9,-3 -8,-3
2407 0 -10,1 -10,0 -10,-1 -11,-1 -11,-2 -11,-3 -10,-3 -9,-3
2408 0 -10,0 -10,-1 -11,-1 -11,-2 -11,-3 -10,-3 -9,-3 -9,-2
2409 0 -11,0 -10,0 -10,-1 -11,-1 -11,-2 -11,-3 -10,-3 -9,-3
2410 0 -11,1 -11,0 -10,0 -10,-1 -11,-1 -11,-2 -11,-3 -10,-3
2411 0 -11,1 -11,0 -10,0 -10,-1 -11,-1 -11,-2 -11,-3 -10,-3
2412 0 -11,1 -11,0 -10,0 -10,-1 -11,-1 -11,-2 -11,-3 -10,-3
2413 0 -11,1 -11,0 -10,0 -10,-1 -11,-1 -11,-2 -11,-3 -10,-3
2414 0 -11,1 -11,0 -10,0 -10,-1 -11,-1 -11,-2 -11,-3 -10,-3
2415 0 -10,1 -11,1 -11,0 -10,0 -10,-1 -11,-1 -11,-2 -11,-3
2416 0 -10,1 -11,1 -11,0 -10,0 -10,-1 -11,-1 -11,-2 -11,-3
2417 0 -10,1 -11,1 -11,0 -10,0 -10,-1 -11,-1 -11,-2 -11,-3
2418 0 -9,1 -10,1 -11,1 -11,0 -10,0 -10,-1 -11,-1 -11,-2
2419 0 -9,0 -9,1 -10,1 -11,1 -11,0 -10,0 -10,-1 -11,-1
2420 0 -9,0 -9,1 -10,1 -11,1 -11,0 -10,0 -10,-1 -11,-1
2421 0 -9,1 -10,1 -11,1 -11,0 -10,0 -10,-1 -11,-1 -11,-2
2422 0 -10,1 -11,1 -11,0 -10,0 -10,-1 -11,-1 -11,-2 -10,-2
2423 0 -10,2 -10,1 -11,1 -11,0 -10,0 -10,-1 -11,-1 -11,-2
2424 0 -11,2 -10,2 -10,1 -11,1 -11,0 -10,0 -10,-1 -11,-1
2425 0 -10,2 -10,1 -11,1 -11,0 -10,0 -10,-1 -11,-1 -12,-1
2426 0 -11,2 -10,2 -10,1 -11,1 -11,0 -10,0 -10,-1 -11,-1
2427 0 -11,2 -10,2 -10,1 -11,1 -11,0 -10,0 -10,-1 -11,-1
2428 0 -10,2 -10,1 -11,1 -11,0 -10,0 -10,-1 -11,-1 -12,-1
2429 0 -10,2 -10,1 -11,1 -11,0 -10,0 -10,-1 -11,-1 -12,-1
2430 0 -10,2 -10,1 -11,1 -11,0 -10,0 -10,-1 -11,-1 -12,-1
2431 0 -10,2 -10,1 -11,1 -11,0 -10,0 -10,-1 -11,-1 -12,-1
2432 0 -10,1 -11,1 -11,0 -10,0 -10,-1 -11,-1 -12,-1 -12,0
2433 0 -9,1 -10,1 -11,1 -11,0 -10,0 -10,-1 -11,-1 -12,-1
2434 0 -9,1 -10,1 -11,1 -11,0 -10,0 -10,-1 -11,-1 -12,-1
2435 0 -9,1 -10,1 -11,1 -11,0 -10,0 -10,-1 -11,-1 -12,-1
2436 0 -8,1 -9,1 -10,1 -11,1 -11,0 -10,0 -10,-1 -11,-1
2437 0 -8,2 -8,1 -9,1 -10,1 -11,1 -11,0 -10,0 -10,-1
2438 0 -8,1 -9,1 -10,1 -11,1 -11,0 -10,0 -10,-1 -10,-2
2439 0 -7,1 -8,1 -9,1 -10,1 -11,1 -11,0 -10,0 -10,-1
2440 0 -7,1 -8,1 -9,1 -10,1 -11,1 -11,0 -10,0 -10,-1
2441 0 -8,1 -9,1 -10,1 -11,1 -11,0 -10,0 -10,-1 -11,-1
2442 0 -7,1 -8,1 -9,1 -10,1 -11,1 -11,0 -10,0 -10,-1
2443 0 -7,1 -8,1 -9,1 -10,1 -11,1 -11,0 -10,0 -10,-1
2444 0 -8,1 -9,1 -10,1 -11,1 -11,0 -10,0 -10,-1 -10,-2
2445 0 -8,2 -8,1 -9,1 -10,1 -11,1 -11,0 -10,0 -10,-1
2446 0 -8,1 -9,1 -10,1 -11,1 -11,0 -10,0 -10,-1 -11,-1
2447 0 -8,1 -9,1 -10,1 -11,1 -11,0 -10,0 -10,-1 -11,-1
2448 0 -9,1 -10,1 -11,1 -11,0 -10,0 -10,-1 -11,-1 -11,-2
2449 0 -10,1 -11,1 -11,0 -10,0 -10,-1 -11,-1 -11,-2 -12,-2
2450 0 -10,1 -11,1 -11,0 -10,0 -10,-1 -11,-1 -11,-2 -12,-2
2451 0 -9,1 -10,1 -11,1 -11,0 -10,0 -10,-1 -11,-1 -11,-2
2452 0 -10,1 -11,1 -11,0 -10,0 -10,-1 -11,-1 -11,-2 -10,-2
2453 0 -10,1 -11,1 -11,0 -10,0 -10,-1 -11,-1 -11,-2 -10,-2
2454 0 -10,1 -11,1 -11,0 -10,0 -10,-1 -11,-1 -11,-2 -10,-2
2455 0 -9,1 -10,1 -11,1 -11,0 -10,0 -10,-1 -11,-1 -11,-2
2456 0 -10,1 -11,1 -11,0 -10,0 -10,-1 -11,-1 -11,-2 -10,-2
2457 0 -11,1 -11,0 -10,0 -10,-1 -11,-1 -11,-2 -10,-2 -9,-2
2458 0 -10,1 -11,1 -11,0 -10,0 -10,-1 -11,-1 -11,-2 -10,-2
